unique_cards,stats_cost_ratio,spell,minion,hero,weapon,pirate,elemental,demon,totem,dragon,murloc,mechanical,beast,class_card,cost_1_or_less,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7_or_more,no_of_high_rules,no_of_medium_rule,no_of_low_rule,average_card_winrate
20,1.706896551724138,16,14,0,0,0,0,0,0,2,0,1,1,22,4,6,5,3,3,2,7,3,1,0,48.90604618443924,50.3
18,1.646153846153846,15,15,0,0,0,0,0,0,1,0,1,1,22,2,5,5,6,3,2,7,3,1,0,49.79292855274044,50.2
19,1.5353535353535352,10,20,0,0,0,2,0,0,1,0,1,1,21,2,4,4,4,3,4,9,7,1,0,51.843576155022085,50.2
19,1.588235294117647,13,17,0,0,0,2,0,0,2,0,1,0,17,0,11,6,2,2,2,7,0,1,0,50.16915824008676,50.14
19,1.5277777777777777,14,16,0,0,0,2,0,0,0,0,1,3,21,3,4,8,2,3,2,8,3,1,0,50.538992303576805,50.13
17,1.4056603773584906,6,24,0,0,0,2,2,0,2,0,3,3,17,2,6,8,4,1,2,7,7,1,0,54.73894108733157,49.98
19,1.5901639344262295,6,24,0,0,0,2,0,0,6,0,2,4,12,0,6,6,4,4,1,9,0,1,0,54.388571860760024,49.81
18,1.6363636363636365,18,12,0,0,0,0,0,0,2,0,1,1,26,2,6,6,4,1,2,9,3,1,0,49.902116110944235,49.78
20,1.6,10,19,1,0,0,4,0,0,1,0,1,2,21,2,2,5,4,3,6,8,0,1,0,51.676924976637665,49.77
20,1.670731707317073,16,14,0,0,0,2,0,0,2,0,1,0,19,3,4,5,3,4,2,9,0,1,0,49.5462489032732,49.68
19,1.5696202531645569,14,16,0,0,0,2,0,0,1,0,1,3,22,3,4,7,2,3,2,9,3,1,0,50.8516837819631,49.67
17,1.6666666666666667,6,24,0,0,0,2,0,0,6,0,2,2,9,0,10,4,4,3,1,8,0,1,0,54.004017208432096,49.65
17,2.3902439024390243,14,16,0,0,0,3,0,0,0,0,0,0,19,4,12,7,7,0,0,0,0,0,0,43.371178908686005,49.63
19,1.5405405405405406,14,16,0,0,0,2,0,0,0,0,1,3,21,3,4,7,2,4,2,8,3,1,0,50.51490238730417,49.58
18,1.4666666666666666,11,19,0,0,0,2,0,0,2,0,1,2,18,0,5,6,5,4,2,8,0,1,0,51.70289421172306,49.5
19,1.5108695652173914,9,21,0,0,0,0,0,0,1,0,1,3,21,2,3,6,4,5,2,8,3,1,0,50.987258556622024,49.25
19,1.6981132075471699,5,25,0,0,0,0,0,0,7,0,2,4,12,0,9,4,5,4,1,7,1,1,0,53.261012866576394,49.22
18,1.543859649122807,16,14,0,0,0,0,0,0,1,0,1,1,25,2,6,6,4,3,2,7,3,1,0,49.340323195140165,48.89
17,1.7826086956521738,18,12,0,0,0,4,0,0,0,0,0,2,28,12,6,3,7,0,0,2,0,0,0,43.95408709746073,48.57
19,1.6705882352941177,15,15,0,0,0,2,0,0,2,0,1,0,18,3,5,6,3,3,3,7,0,1,0,49.21251235368649,48.38
20,1.542857142857143,10,20,0,0,0,2,0,0,1,0,1,3,20,2,3,5,4,5,2,9,3,1,0,50.67094263112928,48.35
17,1.703125,13,17,0,0,0,0,0,0,0,0,1,3,21,2,5,7,2,5,2,7,3,1,0,50.16896544296777,48.28
16,2.0392156862745097,14,16,0,0,0,8,0,0,0,0,0,2,30,8,5,7,6,2,0,2,1,0,0,47.097952275698496,48.23
19,1.732394366197183,15,15,0,0,0,0,0,0,2,0,1,0,20,4,5,6,2,3,1,9,0,1,0,48.71037034895713,48.13
19,1.6987951807228916,15,15,0,0,0,2,0,0,2,0,1,0,18,3,5,6,4,3,2,7,0,1,0,48.784677517242116,48.11
19,1.6206896551724137,19,11,0,0,0,0,0,0,2,0,1,1,25,2,5,7,4,1,2,9,0,1,0,48.962501972183496,48.05
19,1.7162162162162162,14,16,0,0,0,0,0,0,1,0,1,0,19,0,6,5,5,6,2,6,0,1,0,49.289792186544126,47.94
20,1.7282608695652173,8,22,0,0,0,0,0,0,7,0,1,3,15,2,5,5,5,3,2,8,7,1,0,52.06765763037419,47.75
18,1.5857142857142856,15,15,0,0,0,0,0,0,2,0,1,2,24,0,3,8,6,2,3,8,0,1,0,49.250187622564894,46.99
17,1.8823529411764706,16,14,0,0,0,2,0,0,0,0,0,0,21,5,12,8,2,0,2,1,0,0,0,45.122450166957194,46.88
18,1.8615384615384616,9,21,0,0,0,2,0,0,0,0,2,6,19,10,0,14,0,4,0,2,32,0,0,50.00222079593313,46.75
18,1.880952380952381,17,13,0,0,0,4,0,0,0,0,0,0,26,12,9,5,2,0,0,2,0,0,0,43.12140041818951,46.63
19,1.641025641025641,12,18,0,0,0,0,0,0,1,0,1,1,21,2,4,5,5,5,2,7,3,1,0,49.53098878526461,46.53
18,1.9230769230769231,18,12,0,0,0,4,0,0,0,0,0,1,27,11,9,4,4,0,0,2,0,0,0,43.85316332953595,46.45
17,1.7540983606557377,16,14,0,0,0,0,0,0,1,0,1,0,20,4,5,8,2,3,2,6,0,1,0,48.45296622424361,46.08
16,1.8148148148148149,14,16,0,0,0,6,0,0,0,0,0,4,28,10,6,5,8,0,0,1,0,0,0,44.52886542141037,46.06
18,1.7540983606557377,16,14,0,0,0,0,0,0,1,0,1,0,20,4,5,6,2,3,2,8,0,1,0,48.19113568236912,45.93
16,2.0,18,12,0,0,0,4,0,0,0,0,0,2,28,10,10,5,4,0,0,1,0,0,0,43.701588270185184,45.88
17,1.9444444444444444,17,13,0,0,0,4,0,0,0,0,0,2,27,10,11,4,4,0,0,1,0,0,0,43.71117752614956,45.87
20,1.5346534653465347,12,18,0,0,0,2,0,0,3,0,1,2,18,2,5,4,3,5,2,9,0,1,0,50.92093231278263,45.67
18,1.837837837837838,16,14,0,0,0,2,0,0,0,0,0,0,23,3,11,7,6,0,2,1,0,0,0,44.396339781086,45.47
19,2.1538461538461537,13,17,0,0,0,3,0,0,0,0,0,0,21,6,10,7,5,1,0,1,1,0,0,44.210711203347714,45.24
17,1.7352941176470589,17,13,0,0,0,2,0,0,0,0,0,0,24,5,9,11,2,0,2,1,0,0,0,44.81562824101522,45.13
19,1.8703703703703705,14,16,0,0,0,4,0,0,0,0,1,0,22,10,6,7,2,1,0,4,0,1,0,45.05405687775271,44.71
16,2.064516129032258,18,12,0,0,0,4,0,0,0,0,0,2,27,10,10,5,5,0,0,0,0,0,0,43.4385217020205,44.62
17,1.9411764705882353,18,12,0,0,0,4,0,0,0,0,0,0,26,8,12,5,4,0,0,1,0,0,0,43.51234593667511,44.47
19,1.7380952380952381,16,14,0,0,0,3,0,0,0,0,0,2,26,11,9,6,3,0,0,1,0,0,0,44.28859401503958,44.38
17,1.9411764705882353,16,14,0,0,0,2,0,0,0,0,0,0,22,5,12,8,2,0,2,1,0,0,0,45.06201503865706,44.06
17,2.1904761904761907,15,15,0,0,0,4,0,0,0,0,0,0,23,10,11,6,2,0,0,1,0,0,0,43.138250309975085,43.15
16,1.935483870967742,20,10,0,0,0,6,0,0,0,0,0,0,28,10,7,5,6,2,0,0,0,0,0,43.95131898023053,42.8
18,1.6333333333333333,18,12,0,0,0,2,0,0,0,0,0,0,23,5,12,8,2,0,2,1,0,0,0,44.76443932925399,42.77
17,2.0,19,11,0,0,0,2,0,0,0,0,0,0,24,9,13,7,0,0,0,1,0,0,0,43.276337927603116,42.76
19,1.684782608695652,13,17,0,0,0,0,0,0,4,0,1,2,17,0,5,0,8,4,2,11,0,1,0,51.165779204582506,42.54
18,1.6440677966101696,15,15,0,0,0,2,0,0,2,0,1,0,19,2,9,6,4,1,2,6,0,1,0,46.81791270076481,42.45
17,1.546875,11,19,0,0,0,2,0,0,0,0,1,3,23,4,7,7,2,3,0,7,3,1,0,49.237749767304194,42.22
18,1.7358490566037736,19,11,0,0,0,0,0,0,2,0,1,0,22,2,7,8,2,3,2,6,0,1,0,46.59049304705843,41.94
19,1.7547169811320755,17,13,0,0,0,2,0,0,2,0,1,0,22,2,8,5,3,3,2,7,0,1,0,47.05142051084344,41.72
17,1.8636363636363635,15,15,0,0,0,4,0,0,0,0,0,2,27,8,12,3,6,0,0,1,0,0,0,43.22627990285966,40.99
17,1.9333333333333333,21,9,0,0,0,4,0,0,0,0,0,0,29,12,8,4,5,0,0,1,0,0,0,43.51215446259164,39.98
17,1.8571428571428572,15,15,0,0,0,6,0,0,0,0,1,0,21,7,10,7,2,1,2,1,1,1,0,45.9396237722526,39.97
16,2.046511627906977,17,13,0,0,0,2,0,0,0,0,0,0,24,4,10,4,6,0,2,4,0,0,0,44.59029949557053,39.56
16,2.0588235294117645,18,12,0,0,0,6,0,0,0,0,0,0,23,8,10,4,4,2,0,2,0,0,0,44.641414323579895,38.35
17,1.8181818181818181,16,14,0,0,0,2,0,0,0,0,0,0,18,3,10,10,5,0,2,0,0,0,0,45.646346902902664,37.33
18,1.8888888888888888,17,13,0,0,0,2,0,0,1,0,0,0,20,6,12,7,2,0,2,1,0,0,0,44.364073271296256,36.13
19,1.7611940298507462,19,11,0,0,0,3,0,0,3,0,0,0,23,4,8,4,4,1,2,7,0,0,0,45.40138820655722,35.91
17,1.9615384615384615,22,8,0,0,0,3,0,0,0,0,0,0,29,12,8,5,4,0,0,1,0,0,0,43.260691165644445,35.27
16,2.0,14,16,0,0,0,6,0,0,1,0,0,0,23,4,13,4,6,2,0,1,0,0,0,41.6753745122262,34.72
17,1.875,14,16,0,0,0,4,0,0,0,0,0,4,28,6,11,5,7,0,0,1,0,0,0,45.039798126452496,33.42
18,1.8297872340425532,23,7,0,0,0,0,0,0,3,0,0,0,25,4,10,4,2,0,2,8,0,0,0,45.81798004805168,30.79
17,1.8181818181818181,16,14,0,0,0,2,0,0,0,0,0,0,18,3,10,9,5,1,2,0,0,0,0,45.42080922161654,17.81
